##Names,536.fna,APEC01.fna,CFT073.fna,E234869.fna,ED1a.fna,IAI39.fna,S88.fna,SMS35.fna,UTI89.fna
536.fna,0.0,0.0110384,0.00878425,0.015561,0.0127247,0.0226173,0.0106498,0.0243965,0.00817579
APEC01.fna,0.0110384,0.0,0.0105912,0.0154453,0.011387,0.0215392,0.00299104,0.0230204,0.0041444
CFT073.fna,0.00878425,0.0105912,0.0,0.0145534,0.011905,0.0236715,0.00969154,0.0239862,0.00879234
E234869.fna,0.015561,0.0154453,0.0145534,0.0,0.0151936,0.0237477,0.0150776,0.0247509,0.0139665
ED1a.fna,0.0127247,0.011387,0.011905,0.0151936,0.0,0.0223283,0.0114924,0.0248833,0.0114839
IAI39.fna,0.0226173,0.0215392,0.0236715,0.0237477,0.0223283,0.0,0.0212634,0.0123233,0.0210331
S88.fna,0.0106498,0.00299104,0.00969154,0.0150776,0.0114924,0.0212634,0.0,0.0221722,0.00405224
SMS35.fna,0.0243965,0.0230204,0.0239862,0.0247509,0.0248833,0.0123233,0.0221722,0.0,0.0232808
UTI89.fna,0.00817579,0.0041444,0.00879234,0.0139665,0.0114839,0.0210331,0.00405224,0.0232808,0.0
